Device Name (ID),Node name,Device Type,Fleet,Plate No,Vehicle Type,SIM,SIM IP,ICCID,Wi-Fi IP,IMEI,Telephone,Chassis No,Installation date,Create date,Last Online Time,Last Offline Time,Access Mode,Channel Name,Terminal model,App version,Audio-video Count,Intercom Count,Input Number,Output Number,Cloud Recording Channel,Remarks
1817400(1817400),Central node,Hero-ME41-04,Default Fleet,,A1,,,,,,,,,13/12/2023 00:39:00,13/12/2023 00:39:00,13/12/2023 00:39:00,Offline,CH1;CH2;CH3;CH4,,,4,1,2,2,,
30-04_SIMULADOR(8047437301),Central node,ME30-04,Prestamo Lima,,A1,,,,192.168.1.128,862708047437301,,,,13/01/2025 17:38:52,19/03/2026 10:39:33,19/03/2026 10:39:30,Wi-Fi,CH1;CH2;CH3;CH4,ME40-04NA,P26030901.A3605,4,1,2,2,,
3070263617(3070263617),Central node,Hero-ME32-04,EVO_DESINSTALADO,,A1,,,,,861553070263617,,,,12/07/2024 16:35:00,16/02/2026 12:19:22,16/02/2026 12:21:38,Offline,CH1;CH2;CH3;CH4,ME41-04NA,P25082201.A2673,4,1,2,2,,
3070267311(3070267311),Central node,MA81-08,Default Fleet,,A1,,,,,,,,,22/11/2024 11:05:31,26/11/2024 12:22:36,26/11/2024 12:24:31,Offline,CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8,MA81-08,,8,1,2,2,,
3070271875(3070271875),Central node,MA81-08,Default Fleet,,A1,,,,,,,,17/03/2026,22/11/2024 11:03:13,30/10/2025 12:11:16,30/10/2025 12:13:13,Offline,CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8,MA81-08,T24123001,8,1,2,2,,
3070275132(3070275132),Central node,Hero-ME32-04,Default Fleet,,A1,,,,,,,,,11/07/2024 17:33:00,21/10/2024 08:30:00,21/10/2024 09:38:00,Offline,CH1;CH2;CH3;CH4,ME41-04NA,T24062501.1729,4,1,2,2,,
3070277591(3070277591),Central node,ME32-04,Default Fleet,,A1,,,,,,,,,23/10/2024 13:11:00,23/10/2024 13:11:00,23/10/2024 13:11:00,Offline,CH1;CH2;CH3;CH4,,,4,1,2,2,,
3070288101(3070288101),Central node,Hero-MA80-08,Default Fleet,,A1,,,,,,,,,13/09/2024 10:08:00,08/11/2024 16:29:42,08/11/2024 17:33:44,Offline,CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8,MA81-08,,8,1,2,2,,
3070494642(3070494642),Central node,Hero-MA80-08,Default Fleet,,A1,,,,,,,,,13/09/2024 14:26:00,18/08/2025 11:19:23,18/08/2025 11:21:12,Offline,CH1;CH2;CH3;CH4;;;;,MA80-08V3,P24072901.685,8,1,2,2,,
3070497744(3070497744),Central node,Hero-MA80-08,5.- Averiados_legacy,,A1,,,,,,,,,13/09/2024 12:12:00,27/11/2025 14:49:23,27/11/2025 14:51:39,Offline,CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8,MA80-08V3,P24053101.662,8,1,2,2,,
3070497934(3070497934),Central node,Hero-MA80-08,Default Fleet,,A1,,,,,,,,,11/10/2024 10:42:00,17/12/2025 10:07:13,17/12/2025 10:54:54,Offline,CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8,MA80-08V3,P24112702.685,8,1,2,2,,
3070503392(3070503392),Central node,Hero-MA80-08,Default Fleet,,A1,,,,,,,,,13/09/2024 12:12:00,01/10/2024 15:57:19,01/10/2024 15:58:38,Offline,CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8,MA80-08V3,P24040901.649,8,1,2,2,,
3070503996(3070503996),Central node,Hero-MA80-08,EVO_DESINSTALADO,,A1,,,,,,,,,13/09/2024 12:20:00,25/09/2025 13:31:09,25/09/2025 14:33:14,Offline,CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8,MA80-08V3,P24112702.685,8,1,2,2,,
3070548124(3070548124),Central node,MC30-01,1.- Prestamo/Soporte,,A1,,,,,861553070548124,,,13/01/2026,13/01/2026 19:18:41,14/01/2026 09:59:42,14/01/2026 10:04:14,Offline,CH1;CH2,MC30-01,V25090201.2121,2,1,2,2,,
3070898560(3070898560),Central node,Hero-ME40-02,3.- Equipos Nuevos,,A1,,,,,861553070898560,,HGFWX24I15085,19/07/2024,12/01/2026 11:22:29,,,Offline,CH1;CH2;CH3,,,3,1,2,2,,
3070898578(3070898578),Central node,ME30-04,EVO_DESINSTALADO,,A1,,,,,861553070898578,,,,24/04/2025 22:47:33,24/11/2025 15:46:18,24/11/2025 15:56:25,Offline,CH1;CH2;CH3;CH4,ME40-04NA,P24081301.A1777,4,1,2,2,,
3070898636(3070898636),Central node,Hero-ME40-02,3.- Equipos Nuevos,,A1,,,,,861553070898636,,HGFWX24I15068,19/07/2024,12/01/2026 11:22:29,,,Offline,CH1;CH2;CH3,,,3,1,2,2,,
3070904848(3070904848),Central node,Hero-ME30-04,3.- Equipos Nuevos,,A1,,,,,861553070904848,,1G4WX25E0300057,,19/06/2025 22:18:31,01/07/2025 17:52:22,01/07/2025 17:52:25,Offline,CH1;CH2;CH3;CH4,ME40-04NA,P25032001.A2078,4,1,2,2,,
3070904970(3070904970),Central node,ME30-04,3.- Equipos Nuevos,,A1,,,,,861553070904970,,,,21/03/2025 12:51:20,02/04/2025 09:43:36,02/04/2025 09:51:25,Offline,CH1;CH2;CH3;CH4,ME40-04NA,P24081301.A1777,4,1,2,2,,
3070911835(3070911835),Central node,Hero-ME40-02,3.- Equipos Nuevos,,A1,,,,,861553070911835,,HGFWX24I15013,19/07/2024,12/01/2026 11:22:29,,,Offline,CH1;CH2;CH3,,,3,1,2,2,,
3070913112(3070913112),Central node,Hero-ME40-02,3.- Equipos Nuevos,,A1,,,,,861553070913112,,HGFWX24I15030,19/07/2024,12/01/2026 11:22:29,,,Offline,CH1;CH2;CH3,,,3,1,2,2,,
3070913310(3070913310),Central node,Hero-ME40-02,3.- Equipos Nuevos,,A1,,,,,861553070913310,,HGFWX24I15091,19/07/2024,12/01/2026 11:22:29,12/01/2026 14:35:12,12/01/2026 14:39:19,Offline,CH1;CH2;CH3,ME40-02V3,P25012201.1997,3,1,2,2,,
3070913518(3070913518),Central node,ME30-04,3.- Equipos Nuevos,,A1,,,,,861553070913518,,1G4WX25E0300124,,09/09/2025 15:19:36,10/09/2025 13:27:35,10/09/2025 13:37:14,Offline,CH1;CH2;CH3;CH4,ME40-04NA,P25032001.A2078,4,1,2,2,,
3070922451(3070922451),Central node,Hero-ME40-02,3.- Equipos Nuevos,,A1,,,,,861553070922451,,HGFWX24I15020,19/07/2024,12/01/2026 11:22:29,,,Offline,CH1;CH2;CH3,,,3,1,2,2,,
3070925959(3070925959),Central node,ME30-04,3.- Equipos Nuevos,,A1,,,,,861553070925959,,1G4WX25E0300093,,09/09/2025 15:18:01,10/09/2025 14:20:11,10/09/2025 15:02:25,Offline,CH1;CH2;CH3;CH4,ME40-04NA,P25032001.A2078,4,1,2,2,,
3070927484(3070927484),Central node,Hero-ME30-04,3.- Equipos Nuevos,,A1,,,,,861553070927484,,1G4WX25E0300120,,19/06/2025 22:18:31,01/07/2025 18:13:09,01/07/2025 18:14:56,Offline,CH1;CH2;CH3;CH4,ME40-04NA,P25032001.A2078,4,1,2,2,,
3070931122(3070931122),Central node,Hero-ME40-02,3.- Equipos Nuevos,,A1,,,,,861553070931122,,HGFWX24I15036,19/07/2024,12/01/2026 11:22:29,,,Offline,CH1;CH2;CH3,,,3,1,2,2,,
3070946724(3070946724),Central node,ME30-04,3.- Equipos Nuevos,,A1,,,,,861553070946724,,1G4WX25E0300132,,09/09/2025 15:20:31,10/09/2025 14:19:55,10/09/2025 15:02:23,Offline,CH1;CH2;CH3;CH4,ME40-04NA,P25032001.A2078,4,1,2,2,,
3072895028(3072895028),Central node,Hero-ME30-04,3.- Equipos Nuevos,,A1,,,,,861553072895028,,1G4WX25F0500227,19/07/2024,30/10/2025 09:56:35,05/11/2025 12:10:32,05/11/2025 12:19:46,Offline,CH1;CH2;CH3;CH4,ME40-04NA,P25032001.A2078,4,1,2,2,,
3072895838(3072895838),Central node,ME31-08,3.- Equipos Nuevos,,A1,,,,192.168.1.169,861553072895838,,1G4WX25J1400056,19/07/2024,09/01/2026 19:21:03,09/01/2026 20:27:27,09/01/2026 20:30:41,Offline,CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8,ME31-08N2,P25121801.3305,8,1,8,2,,
3072897867(3072897867),Central node,ME31-08,3.- Equipos Nuevos,,A1,,,,192.168.1.246,861553070914482,,1G4WX25J1400049,19/07/2024,09/01/2026 19:21:03,10/01/2026 00:27:35,10/01/2026 00:29:13,Offline,CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8,ME31-08N2,P25121801.3305,8,1,8,2,,
3072897883(3072897883),Central node,ME31-08,3.- Equipos Nuevos,,A1,,,,192.168.1.202,861553072897883,,1G4WX25J1400047,19/07/2024,09/01/2026 19:21:03,17/01/2026 03:16:27,17/01/2026 03:20:06,Offline,CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8,ME31-08N2,P25121801.3305,8,1,8,2,,
3072897982(3072897982),Central node,ME31-08,3.- Equipos Nuevos,,A1,,,,192.168.1.161,861553070914482,,1G4WX25J1400044,19/07/2024,09/01/2026 19:21:03,17/01/2026 01:08:21,17/01/2026 01:08:56,Offline,CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8,ME31-08N2,P25121801.3305,8,1,8,2,,
3072914696(3072914696),Central node,ME31-08,3.- Equipos Nuevos,,A1,,,,192.168.1.216,861553070914482,,1G4WX25J1400070,19/07/2024,09/01/2026 19:21:03,10/01/2026 03:33:10,10/01/2026 03:35:29,Offline,CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8,ME31-08N2,P25121801.3305,8,1,8,2,,
3072922582(3072922582),Central node,ME31-08,3.- Equipos Nuevos,,A1,,,,,861553072922582,,1G4WX25J1400073,19/07/2024,09/01/2026 19:21:03,17/01/2026 01:27:13,17/01/2026 01:27:57,Offline,CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8,ME31-08N2,P25121801.3305,8,1,8,2,,
