Device Name (ID),Alarm Type,Fleet,Alarm Status,Begin Time,Start position,End Time,End position,Start details,End Details,Start Speed,End Speed,Reporting time,Alarm duration,Re-upload,Process User,Process Time,Process memo,Remark
CAG-717_EVO4(9053071085),Storage Error,NUMAY,Alarm End,21/01/2026 23:58:54,"-78.502609,-6.98914",21/01/2026 23:58:54,"-78.502609,-6.98914",NO:sd1 ; State:L1_Damage ; satellites:6,,11.04 km/h,11.04 km/h,21/01/2026 23:58:55,0 s,No,,,,Pending
BPD-940_EVO4(9053067125),Storage Error,MULT. TRNSP. CAJAMARCA,Alarm End,21/01/2026 23:58:49,"-78.219826,-9.777055",21/01/2026 23:58:49,"-78.219826,-9.777055",NO:hdd ; State:L1_Damage ; satellites:14,,54.76 km/h,54.76 km/h,22/01/2026 05:57:44,0 s,Yes,,,,Pending
AYJ-784_EVO4(8045158610),Storage Error,Primax_Gas,Alarm End,21/01/2026 23:56:59,"-76.918365,-12.019665",21/01/2026 23:56:59,"-76.918365,-12.019665",NO:sd1 ; State:L1_Damage ; satellites:13,,0.0 km/h,0.0 km/h,21/01/2026 23:56:59,0 s,No,,,,Pending
BPD-940_EVO4(9053067125),Storage Error,MULT. TRNSP. CAJAMARCA,Alarm End,21/01/2026 23:56:57,"-78.235252,-9.770777",21/01/2026 23:56:57,"-78.235252,-9.770777",NO:hdd ; State:L1_The disk has not recorded for a long time: no recording has been written for more than 2 minutes ; satellites:14,,83.62 km/h,83.62 km/h,22/01/2026 05:57:43,0 s,Yes,,,,Pending
BPD-940_EVO4(9053067125),Storage Error,MULT. TRNSP. CAJAMARCA,Alarm End,21/01/2026 23:56:54,"-78.235519,-9.770463",21/01/2026 23:56:54,"-78.235519,-9.770463",NO:hdd ; State:L1_Lost ; satellites:14,,84.93 km/h,84.93 km/h,22/01/2026 05:57:43,0 s,Yes,,,,Pending
BSE-825_EVO(9053657917),Storage Error,SERVOSA,Alarm End,21/01/2026 23:56:50,"0.0,0.0",21/01/2026 23:56:50,"0.0,0.0",NO:HDD ; State:L3_The disk cannot be mounted ; satellites:0,,0.0 km/h,0.0 km/h,21/01/2026 23:56:52,0 s,No,,,,Pending
AZL-907_EVO4(6063458289),Storage Error,ACUARIO,Alarm End,21/01/2026 23:56:37,"-78.543312,-6.979331",21/01/2026 23:56:37,"-78.543312,-6.979331",NO:hdd ; State:L3_The disk cannot be mounted ; satellites:16,,31.52 km/h,31.52 km/h,21/01/2026 23:56:39,0 s,No,,,,Pending
TAF-924_EVO(8046893561),Storage Error,SERVOSA,Alarm End,21/01/2026 23:55:51,"-71.577263,-16.368254",21/01/2026 23:55:51,"-71.577263,-16.368254",NO:HDD ; State:L1_The disk has not recorded for a long time: no recording has been written for more than 2 minutes ; satellites:7,,6.43 km/h,6.43 km/h,21/01/2026 23:55:52,0 s,No,,,,Pending
BPD-940_EVO4(9053067125),Storage Error,MULT. TRNSP. CAJAMARCA,Alarm End,21/01/2026 23:54:45,"-78.247314,-9.74906",21/01/2026 23:54:45,"-78.247314,-9.74906",NO:hdd ; State:L1_Damage ; satellites:16,,76.42 km/h,76.42 km/h,22/01/2026 05:57:43,0 s,Yes,,,,Pending
BVR-756_EVO4(6063460566),Storage Error,RENTAEQUIPOS,Alarm End,21/01/2026 23:54:22,"-76.897522,-12.272322",21/01/2026 23:54:22,"-76.897522,-12.272322",NO:sd2 ; State:L1_Damage ; satellites:18,,0.0 km/h,0.0 km/h,21/01/2026 23:54:25,0 s,No,,,,Pending
BVR-756_EVO4(6063460566),Storage Error,RENTAEQUIPOS,Alarm End,21/01/2026 23:54:22,"-76.897522,-12.272322",21/01/2026 23:54:22,"-76.897522,-12.272322",NO:sd2 ; State:L1_Disk failure ; satellites:18,,0.0 km/h,0.0 km/h,21/01/2026 23:54:26,0 s,No,,,,Pending
BRQ-896_EVO(3070277187),Storage Error,NOATUM,Alarm End,21/01/2026 23:51:59,"-74.897987,-15.339207",21/01/2026 23:51:59,"-74.897987,-15.339207","NO:sd1 ; State:L3_Disk invalid block: Judge the video partition, at the beginning of formatting, or when the key information of the corresponding file is updated later ; satellites:17",,67.28 km/h,67.28 km/h,21/01/2026 23:52:01,0 s,No,,,,Pending
AYJ-784_EVO4(8045158610),Storage Error,Primax_Gas,Alarm End,21/01/2026 23:50:13,"-76.918243,-12.019937",21/01/2026 23:50:13,"-76.918243,-12.019937",NO:sd1 ; State:L1_Damage ; satellites:13,,0.0 km/h,0.0 km/h,21/01/2026 23:50:13,0 s,No,,,,Pending
BPD-940_EVO4(9053067125),Storage Error,MULT. TRNSP. CAJAMARCA,Alarm End,21/01/2026 23:49:27,"-78.268059,-9.725065",21/01/2026 23:49:27,"-78.268059,-9.725065",NO:hdd ; State:L1_Damage ; satellites:14,,79.16 km/h,79.16 km/h,22/01/2026 05:57:43,0 s,Yes,,,,Pending
